snapped_at,price,market_cap,total_volume
2024-05-07 00:00:00 UTC,2.4456688218542418e-05,0.0,155521.7379907744
2024-05-08 00:00:00 UTC,2.4456688218542418e-05,0.0,155521.7379907744
2024-05-09 00:00:00 UTC,2.446525384584512e-05,0.0,55217.571873620764
2024-05-10 00:00:00 UTC,3.1481194376350606e-05,0.0,99880.63940015325
2024-05-11 00:00:00 UTC,2.69362020173625e-05,0.0,61612.53841164658
2024-05-12 00:00:00 UTC,2.0065581297049756e-05,0.0,44369.98227436852
2024-05-13 00:00:00 UTC,2.1279204112872065e-05,0.0,38675.79578220698
2024-05-14 00:00:00 UTC,9.597905045714055e-06,0.0,38564.73341590111
2024-05-15 00:00:00 UTC,8.203869407006388e-06,0.0,23089.518609039627
2024-05-16 00:00:00 UTC,1.2332677553099943e-05,0.0,17122.439701502914
2024-05-17 00:00:00 UTC,1.1080757918338545e-05,0.0,10662.168778511314
2024-05-18 00:00:00 UTC,1.6087285339749824e-05,0.0,14534.39932605971
2024-05-19 00:00:00 UTC,1.1080103730502156e-05,0.0,15650.752294320997
2024-05-20 00:00:00 UTC,1.1953053926509868e-05,0.0,16076.040552810124
2024-05-21 00:00:00 UTC,1.1625608654430445e-05,0.0,11609.158547429864
2024-05-22 00:00:00 UTC,9.31987668206699e-06,0.0,7969.66164970055
2024-05-23 00:00:00 UTC,7.436779874044847e-06,0.0,8144.887062443158
2024-05-24 00:00:00 UTC,7.071565295182721e-06,0.0,1713.8765236764827
2024-05-25 00:00:00 UTC,6.3110593856388585e-06,0.0,4856.940065061544
2024-05-26 00:00:00 UTC,6.394043366676972e-06,0.0,86.65316282088784
2024-05-27 00:00:00 UTC,7.716728948947492e-06,0.0,7332.263709010301
2024-05-28 00:00:00 UTC,9.819474704077367e-06,0.0,2674.1741936821804
2024-05-29 00:00:00 UTC,7.695168607266151e-06,0.0,2926.198177758282
2024-05-30 00:00:00 UTC,8.596283306283542e-06,0.0,3584.62799056955
2024-05-31 00:00:00 UTC,8.886370819385853e-06,0.0,7265.437950496349
2024-06-01 00:00:00 UTC,7.976460261715841e-06,0.0,30978.347546865865
2024-06-02 00:00:00 UTC,7.4410087040151354e-06,0.0,2714.2095414021974
2024-06-03 00:00:00 UTC,6.622557946589576e-06,0.0,2926.5324182082145
2024-06-04 00:00:00 UTC,6.449377645831741e-06,0.0,975.4470910947956
2024-06-05 00:00:00 UTC,6.990818481223681e-06,0.0,2781.8654550817405
2024-06-06 00:00:00 UTC,6.066957644531338e-06,0.0,1198.6430778379079
2024-06-07 00:00:00 UTC,5.6485854646522546e-06,0.0,263.2093328434215
2024-06-08 00:00:00 UTC,5.781228869063215e-06,0.0,894.4706714302489
2024-06-09 00:00:00 UTC,6.007856961306104e-06,0.0,43.45498531148577
2024-06-10 00:00:00 UTC,6.070306290700168e-06,0.0,130.95072410216574
2024-06-11 00:00:00 UTC,5.848363432401653e-06,0.0,387.9118624526192
2024-06-12 00:00:00 UTC,5.684670404758529e-06,0.0,544.1701290509191
2024-06-13 00:00:00 UTC,4.932915806126978e-06,0.0,3025.3583229510823
2024-06-14 00:00:00 UTC,5.254742825392593e-06,0.0,3328.4654278151115
2024-06-15 00:00:00 UTC,5.1833124155072785e-06,0.0,35.10661253823657
2024-06-16 00:00:00 UTC,5.34661621576739e-06,0.0,244.73038961861212
2024-06-17 00:00:00 UTC,5.3370680357944046e-06,0.0,193.045982370341
2024-06-18 00:00:00 UTC,5.033021714232603e-06,0.0,354.99400229588156
2024-06-19 00:00:00 UTC,4.957788500696903e-06,0.0,175.08842340596658
2024-06-20 00:00:00 UTC,5.011090160542566e-06,0.0,1465.9179215999884
2024-06-21 00:00:00 UTC,4.002658858633867e-06,0.0,402.1363334465369
2024-06-22 00:00:00 UTC,4.06272358896973e-06,0.0,252.11125175961055
2024-06-23 00:00:00 UTC,4.002960528350715e-06,0.0,587.7785681730114
2024-06-24 00:00:00 UTC,3.899774284147381e-06,0.0,733.85161310288
2024-06-25 00:00:00 UTC,3.6466199884745824e-06,0.0,8.779935474477561
2024-06-26 00:00:00 UTC,3.96854183895775e-06,0.0,705.9199760681205
2024-06-27 00:00:00 UTC,4.296550654268252e-06,0.0,33.81599763171579
2024-06-28 00:00:00 UTC,4.35413345889282e-06,0.0,86.27139022541215
2024-06-29 00:00:00 UTC,4.074813478899572e-06,0.0,482.6400651250028
2024-06-30 00:00:00 UTC,3.901269175853771e-06,0.0,110.24323695837566
2024-07-01 00:00:00 UTC,3.883109169898235e-06,0.0,109.73006605181202
2024-07-02 00:00:00 UTC,4.041568844814638e-06,0.0,173.12863009276657
2024-07-03 00:00:00 UTC,4.017258291206056e-06,0.0,2080.6728089335566
2024-07-04 00:00:00 UTC,3.574296667242146e-06,0.0,288.2739029952036
2024-07-05 00:00:00 UTC,3.129093300474703e-06,0.0,279.71745218227164
2024-07-06 00:00:00 UTC,3.061833181758002e-06,0.0,235.42949166809154
2024-07-07 00:00:00 UTC,3.0055915113899882e-06,0.0,80.57777032391971
2024-07-08 00:00:00 UTC,2.9505896722443995e-06,0.0,52.649793229876536
2024-07-09 00:00:00 UTC,3.0019483628616298e-06,0.0,127.64423144662766
2024-07-10 00:00:00 UTC,2.961739924137748e-06,0.0,634.7052674617333
2024-07-11 00:00:00 UTC,2.850446536535956e-06,0.0,460.2714443193935
2024-07-12 00:00:00 UTC,2.7191314110027457e-06,0.0,123.3165520584553
2024-07-13 00:00:00 UTC,2.7837889431388666e-06,0.0,4368.101907240634
